No,공고제목,회사이름,회사위치,링크
24,(주)파이빅스 해외영업 신입직원 채용,(주)파이빅스,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260000210&src=etc*search
25,(주)파이온텍 마케팅 상품기획 팀원급 채용,(주) 파이온텍,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000235&src=etc*search
26,CNC 및 파이프레이저 생산가공 (정규직),(주)디랙스,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2303230000261&src=etc*search
27,수동 보링기 100파이 1대 기술자 모집,글로벌company,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002346&src=etc*search
28,[K-DT 무료교육] 빅데이터 자바&파이선  풀스택 취업과정 훈련생  모집,오라클자바교육센터,교육생(연수생),https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190005654&src=etc*search
29,주5일 / 부천 송내 벤츠파이낸스 대표번호 고객상담 모집,(주)유정에이치알,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230002980&src=etc*search
30,세종파이낸스센터1차 미화원 채용 (1명),주식회사 유진티에스,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408200002307&src=etc*search
31,"[IT취업률100프로]개발자 채용연계(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비생 선착순 모집",㈜세종교육,경기 성남시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45317131?Oem_Code=C1&logpath=1&stext=파이썬&listno=1
32,[전액무료IT개발자취업생모집]JAVA개발자/풀스택개발자/AI서비스개발자,㈜하이미디어아카데미,강원,https://www.jobkorea.co.kr/Recruit/GI_Read/45349095?Oem_Code=C1&logpath=1&stext=파이썬&listno=2
33,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),휴먼교육센터,서울 영등포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45438050?Oem_Code=C1&logpath=1&stext=파이썬&listno=3
34,[서울시 지원] 파이썬 기반 개발자 입문과정 훈련생 모집,동대문여성인력개발센터,서울 전지역 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45189900?Oem_Code=C1&logpath=1&stext=파이썬&listno=4
35,파이썬/데이터분석 국비훈련 강사 모집,한국직업전문학교,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401462?Oem_Code=C1&logpath=1&stext=파이썬&listno=5
36,로봇 ROS/파이썬 국비훈련 강사 모집,한국직업전문학교,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45103667?Oem_Code=C1&logpath=1&stext=파이썬&listno=6
37,구미시 Growing 이미지 Data 수집관리 ( 하둡 파이썬 spark 개발자 ) 10월투입,푸른IT,경북 구미시,https://www.jobkorea.co.kr/Recruit/GI_Read/45411670?Oem_Code=C1&logpath=1&stext=파이썬&listno=7
38,"파이썬(Python, AWS) 경력 개발자 채용",㈜한국미용데이터,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45381265?Oem_Code=C1&logpath=1&stext=파이썬&listno=8
39,[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,㈜아이젝스,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45324607?Oem_Code=C1&logpath=1&stext=파이썬&listno=9
40,(병점역) 자바/파이썬/RPA  SW개발 강사 채용,(주)글로벌아카데미,경기 화성시,https://www.jobkorea.co.kr/Recruit/GI_Read/45442711?Oem_Code=C1&logpath=1&stext=파이썬&listno=10
41,[계약직원] 파이썬 시스템 개발 모집 공고 [9월-연말],㈜피엠에스,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45434490?Oem_Code=C1&logpath=1&stext=파이썬&listno=11
42,"[방배] 통신사 파이썬 업무 운영(Python/초급,중급)",이수정보㈜,서울 중랑구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45428432?Oem_Code=C1&logpath=1&stext=파이썬&listno=12
43,자바 / 파이썬 국기과정 훈련교사 모집,㈜우리인재개발원,경기 부천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45414250?Oem_Code=C1&logpath=1&stext=파이썬&listno=13
44,프론트개발 / 파이썬 국기과정 훈련교사 모집,㈜우리인재개발원,경기 부천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45414168?Oem_Code=C1&logpath=1&stext=파이썬&listno=14
45,파이썬 (Python) 개발 경력자 모집,㈜테드,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45411109?Oem_Code=C1&logpath=1&stext=파이썬&listno=15
46,"[이젠아카데미 인천]K-디지털,자바,파이썬,정보처리산업기사 강의 훈련교사 채용",이젠아카데미컴퓨터학원,인천 남동구,https://www.jobkorea.co.kr/Recruit/GI_Read/45405738?Oem_Code=C1&logpath=1&stext=파이썬&listno=16
47,"자바 풀스택, 파이썬/데이터분석 국비훈련 강사 모집",(주)제이엠피코리아,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401459?Oem_Code=C1&logpath=1&stext=파이썬&listno=17
48,"직업훈련 [ITQ, 컴기초, 파이썬] 훈련교사 채용",동작여성인력개발센터,서울 동작구,https://www.jobkorea.co.kr/Recruit/GI_Read/45378817?Oem_Code=C1&logpath=1&stext=파이썬&listno=18
49,"(EZEN) 일산캠퍼스 -  풀스택 JAVA,파이썬. 강사님 모십니다",이젠컴퓨터학원,경기 고양시,https://www.jobkorea.co.kr/Recruit/GI_Read/45353178?Oem_Code=C1&logpath=1&stext=파이썬&listno=19
50,[(주)뷰브레인헬스케어] 파이썬 풀스택 개발자 채용,㈜뷰브레인헬스케어,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45349625?Oem_Code=C1&logpath=1&stext=파이썬&listno=20
51,"(주)이음전산 패키지, 상세 페이지 디자이너 신입 및 경력 채용",㈜이음전산,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45314262?Oem_Code=C1&logpath=1
52,[젠틀몬스터] 비주얼 아트 디렉터 (신입/경력),㈜아이아이컴바인드,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45353139?Oem_Code=C1&logpath=1
53,[주 3일 원격근무] 비상교육 전체직무 상시채용,㈜비상교육,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45044716?Oem_Code=C1&logpath=1
54,[㈜푸드플래닛] 2024년 하반기 각 부문 신입 ·경력 사원 모집,㈜푸드플래닛,강원 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45289486?Oem_Code=C1&logpath=1
55,"㈜이현어패럴 BEEN,BLUETAIL,SWITCH123 디자이너,VMD,MD 신입 또는 경력 채용",㈜이현어패럴,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45348135?Oem_Code=C1&logpath=1
56,슬코 생산물류직원 모집,슬코,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45052139?Oem_Code=C1&logpath=1
57,재무회계팀 자금회계 실무자,㈜삼표에너지,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45379384?Oem_Code=C1&logpath=1
58,동성제약 영업부 신입 및 경력사원 모집,동성제약㈜,서울 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45223833?Oem_Code=C1&logpath=1
59,[kt ds] 2024년 각 부문별 경력사원 상시채용,㈜KT DS,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/44945803?Oem_Code=C1&logpath=1
60,법률사무원 취업교육과정(종합반) 모집 - 법원견학 실습 포함,중앙법률사무교육원,서울,https://www.jobkorea.co.kr/Recruit/GI_Read/45243069?Oem_Code=C1&logpath=1
